houseGeo,perPar1920
41001,0.221686747
41002,0.322678843
41003,0.625
41004,0.353783231
41005,0.701943844
41006,0.401763224
41007,0.261946903
41008,0.338738739
41009,0.570289133
41010,0.182599356
41011,0.281761006
41012,1.524848485
41013,0
41014,0
41015,0.117525773
41016,0
41017,0.418570376
41018,0.443307758
41019,0.204081633
41020,0
41021,0.738214644
41022,1.183892617
41023,0.635974304
41024,0.148535565
41025,0.471885336
41026,0.24691358
41027,0.574407583
41028,0.513833992
41029,0.268156425
41030,0.428992339
41031,0.434285714
41032,0.851683348
41033,0
41034,0.091844814
41035,1.76146789
41036,1.380813953
41037,0.044340723
41038,1.688453159
41039,0.400862069
41040,0.426270136
41041,0
41042,0.613402062
41043,1.212264151
41044,0.363636364
41045,0
41046,0.491094148
41047,1.051282051
41048,0.699029126
41049,0.316644114
41050,1.046535677
41051,0.815594059
41052,0.320652174
41053,0.513632366
41054,0.603537981
41055,0.325526932
41056,0.262099777
41057,0.934179223
41058,0.187096774
41059,0.787709497
41060,0.60948668
