geo,par2017,par2018,par2019
Clackamas ESD,0.749413971,0.81604656,0.725120773
Columbia Gorge ESD,0.77480315,0.762269939,0.884615385
Douglas ESD,0.637223975,0.747995418,0.742424242
Grant ESD,0.676923077,0.518867925,0.958333333
Harney ESD,0.831168831,0.887755102,1
High Desert ESD,0.798769453,0.776063229,0.991137371
InterMountain ESD,0.627348643,0.665438467,0.599861783
Jefferson ESD,0.594240838,0.662011173,0.883002208
Lake ESD,0.791666667,0.382550336,
Lane ESD,0.926463232,0.868735084,0.956842105
Linn Benton-Lincoln ESD,0.66316552,0.657776604,0.485611511
Malheur ESD,0.658227848,0.593047035,1.0625
Multnomah ESD,0.87236901,0.872474241,0.851321586
North Central ESD,1.027027027,0.508928571,
Northwest Regional ESD,0.627475248,0.640107914,0.599540758
Oregon Department of Education ESD,0.574585635,0.638095238,0.966666667
Region 18 ESD,0.923076923,1.028571429,1
South Coast ESD,0.939675174,0.927392739,0.848314607
Southern OR ESD,0.58792066,0.812867647,0.579990333
Willamette ESD,0.863602669,0.720915842,0.806839187
