house_geo,schools,ODS_No_5th_Grade,ODE_No_6th_Grade,ODS_Total_Stu,Days,Total_Request,ODE_Fall_5th_Grad,ODE_Fall_6th_Grade,per_par,oneNil,oneOne,twoOne,threeOne,threeTwo,fourNil,fourThree,fiveFour,sixFive
41001,0,0,0,0,0,0,0,0,0,,,,,,,,,
41002,4,128,91,219,12,50797.3,133,178,0.704180064,,,,,1303,,,,
41003,2,0,184,184,6,44278.75,90,279,0.498644986,,,,,1344,,,,
41004,8,515,90,605,24,64822.62,566,135,0.863052782,,,,728,3217,,,,
41005,10,181,368,549,30,91722.15,426,391,0.671970624,,,,428,5120,,,,
41006,7,128,285,413,22,55214.13,500,433,0.442658092,,,515,947,2118,,,513,
41007,10,242,246,488,34,86173.75,369,254,0.783306581,,,,,2717,77,1285,,
41008,4,234,0,234,15,39222.98,246,0,0.951219512,,,,908,,,1394,,
41009,4,19,405,424,15,77419.1,255,450,0.60141844,,,,,2066,,,,898
41010,7,14,359,373,25,57689.11,315,426,0.503373819,,,,262,851,,2827,,
41011,8,137,259,396,26,80980.68559,258,271,0.748582231,,,,,2136,,317,140,
41012,3,0,671,671,10,35622.98,0,628,1.068471338,,,,,899,336,,,
41013,1,45,0,45,3,6164.1,46,0,0.97826087,,,,,176,,,,
41014,3,200,0,200,9,34124.26,204,94,0.67114094,,,,552,758,,,,
41015,2,49,143,192,7,53640.8,53,189,0.79338843,,,,,603,,567,,
41016,8,442,115,557,28,162522.92,569,50,0.899838449,,,,,1903,,,1673,
41017,14,112,704,816,55,176094.4044,411,964,0.593454545,,,,,4132,,1750,3217,
41018,12,283,367,650,42,153433.0756,438,467,0.718232044,,,,,4128,,1836,620,
41019,4,343,0,343,12,45993.66,365,0,0.939726027,,,,,2399,,,,
41020,5,420,0,420,15,47525.02,436,0,0.963302752,,,,,1638,,,,
41021,6,403,55,458,18,51877.27,432,56,0.93852459,,,,790,1866,,,,
41022,2,146,0,146,5,22437.36,139,0,1.050359712,,,317,,334,,,,
41023,10,145,517,662,39,120154.8571,261,582,0.785290629,,,,,1560,,1228,727,
41024,8,205,259,464,25,94019.98,509,279,0.588832487,,,,,2948,,1005,,
41025,8,487,14,501,27,73923.66998,466,16,1.039419087,,,,528,1792,,,,839
41026,8,23,809,832,29,168478.65,231,897,0.737588652,,,,,1955,,3074,,
41027,5,0,835,835,19,193602.69,110,934,0.799808429,,,,,972,,1293,,
41028,3,0,394,394,11,88805.16,179,428,0.649093904,,,,,104,,619,,
41029,9,23,795,818,29,167141.2387,705,780,0.550841751,,,,,3321,,426,,
41030,11,0,752,752,34,142606.4,689,791,0.508108108,,,,,6361,,357,,
41031,11,0,603,603,44,141216.793,680,633,0.459253618,,,,,2035,,2541,398,1657
41032,4,83,290,373,17,86274.06,282,303,0.637606838,,,,,,,969,223,
41033,2,0,736,736,7,179839.42,75,500,1.28,,,,,122,,848,,
41034,5,0,803,803,19,230919.11,110,966,0.746282528,,,,,1324,,390,,961
41035,2,0,537,537,6,96985.51,0,633,0.848341232,,,,,1793,,,,
41036,3,0,259,259,16,105274.27,50,268,0.814465409,,,,,,,883,,891
41037,3,0,698,698,11,99018.53,0,765,0.912418301,,,,,355,,808,,
41038,2,0,283,283,12,121502.52,46,298,0.822674419,,,,,,,,,1161
41039,9,67,420,487,36,144587.1948,378,455,0.584633854,,,,,605,,4100,114,
41040,5,0,669,669,20,192722.93,26,1056,0.618299445,,,,,20,,1602,941,
41041,3,0,714,714,14,220201.68,0,798,0.894736842,,,,,,,780,,794
41042,5,0,501,501,30,238256.04,119,535,0.766055046,,,,,,,,,2617
41043,6,0,254,254,36,111134.16,371,278,0.391371341,,,,,,,,,2988
41044,5,0,381,381,28,176624.32,133,441,0.663763066,,,,,,,899,,1134
41045,8,36,719,755,48,351344.87,425,822,0.605453087,,,,,,,,,3730
41046,9,0,809,809,51,303913.28,419,903,0.611951589,,,,,754,,,,3205
41047,2,0,243,243,4,50421.47,9,291,0.81,,968,,,275,,,,
41048,2,0,164,164,12,71800.56,64,221,0.575438596,,,,,,,,,969
41049,6,0,885,885,24,249432.64,52,1083,0.779735683,,,,,2175,,,,637
41050,3,0,404,404,10,108680.16,6,471,0.846960168,,,,,520,,465,,
41051,5,0,844,844,19,189398.83,78,977,0.8,,,,,219,,1089,115,
41052,5,0,541,541,20,179384.86,113,643,0.715608466,,,,,1910,,1389,,174
41053,10,709,0,709,30,131203.72,780,104,0.802036199,,,,,5992,,,,
41054,12,988,0,988,36,180633.1,1073,31,0.894927536,,,,,6255,,,,
41055,14,206,328,534,50,122405.12,412,408,0.651219512,,,,,5120,,,1662,
41056,17,251,454,705,57,157605.29,743,495,0.569466882,1200,,,,3104,,4571,580,
41057,10,167,254,421,39,75983.55,418,318,0.57201087,,,,,1844,,1615,1010,
41058,14,61,657,718,53,107132.827,249,699,0.757383966,,,,,3550,2032,1226,1194,
41059,9,323,320,643,29,127498.93,225,614,0.766388558,,,,,5546,,,548,
41060,12,105,408,567,50,131345.08,343,529,0.650229358,,,,692,971,823,1902,1322,
