geo,p1920
41001,0.807017544
41002,0.658385093
41003,0.598290598
41004,0.804651163
41005,0.918079096
41006,0.901129944
41007,0.973684211
41008,0.989473684
41009,0.841176471
41010,0.894736842
41011,0.973913043
41012,0.988993711
41013,0
41014,0
41015,0.966101695
41016,0
41017,1.028985507
41018,0.884353741
41019,0.895522388
41020,0
41021,0.882494005
41022,0.944325482
41023,0.905487805
41024,0.87654321
41025,0.938596491
41026,0.972222222
41027,0.964968153
41028,0.919811321
41029,0.864
41030,0.943005181
41031,0.917241379
41032,1.00862069
41033,0
41034,0.966666667
41035,0.880733945
41036,0.93503937
41037,0.95
41038,0.946275946
41039,1.033333333
41040,0.751091703
41041,0
41042,0.952
41043,0.892361111
41044,0.842857143
41045,0
41046,0.84279476
41047,0.842465753
41048,0.715231788
41049,0.561151079
41050,0.843333333
41051,0.617619494
41052,0.880597015
41053,0.966887417
41054,0.973154362
41055,1.07751938
41056,0.854368932
41057,0.956168831
41058,0.966666667
41059,1.011961722
41060,0.718223583
